"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
"WorldsofWonderActionMax";".38 Ambush Alley";NA;"Worlds of Wonder";"Unknown";1;1;0
"SonyPlayStation2";".hack: G.U. Vol. 1: Rebirth";NA;"Namco Bandai Games";"Unknown";0;1;0
"SonyPlayStation2";".hack: G.U. Vol. 2: Reminisce";NA;"Namco Bandai Games";"Unknown";0;1;0
"SonyPlayStation2";".hack: G.U. Vol. 3: Redemption";NA;"Namco Bandai Games";"Unknown";0;1;0
"SonyPlayStation2";"007: Agent under Fire";NA;"EA Games";"Unknown";1;1;0
"NintendoGameBoyAdvance";"007: Everything or Nothing";NA;"Electronic Arts";"Unknown";1;1;0
"SonyPlayStation2";"007: Everything or Nothing";NA;"EA Games";"Unknown";1;1;0
"SonyPlayStation2";"007: From Russia With Love";NA;"EA";"Unknown";1;1;0
"NintendoGameBoyAdvance";"007: Nightfire";NA;"Electronic Arts";"Unknown";1;1;0
"SonyPlayStation2";"007: Nightfire";NA;"EA Games";"Unknown";1;1;0
"SonyPlayStation2";"007: Quantum of Solace";NA;"Activision";"Unknown";1;1;0
"NintendoGameBoyColor";"007: The World Is Not Enough";NA;"Electronic Arts";"2n Productions";1;1;0
"NintendoDS";"1+1 Vorteilspack: Paint by DS + Paint by DS: Military Vehicles";NA;"Ertain";"";1;0;0
"NintendoGameBoyColor";"10 Pin Bowling";NA;"Majesco";"Morning Star Multimedia";1;1;0
"SonyPlayStation2";"10 Pin Champions Alley";NA;"Liquid Games";"Unknown";1;0;0
"NES";"10-Yard Fight";NA;"Nintendo";"Irem";1;1;0
"SonyPlayStation2";"10.000 Bullets";NA;"Taito, 505 GameStreet";"Unknown";1;0;0
"SonyPlayStation";"101 Dalmations II: Patch's London Adventure";NA;"Eidos";"Unknown";0;1;0
"NintendoGameBoyColor";"102 Dalmatians (Disney's): Puppies to the Rescue";NA;"Activision, Disney Interactive";"Crystal Dynamics, Digital Eclipse";1;1;0
"Nintendo64";"1080° Snowboarding";NA;"Nintendo";"Unknown";1;1;0
"SonyPlayStation";"16 Tales";NA;"Lightspan";"Unknown";0;1;0
"SonyPlayStation";"16 Tales 2";NA;"Lightspan";"Unknown";0;1;0
