"Original System";"Title";"Year";"Publisher";"Developer";"Europe";"US";"Japan"
NA;".38 Ambush Alley";"???";"Worlds of Wonder";"Unknown";"";"";"x"
NA;".hack: G.U. Vol. 1: Rebirth";"???";"Namco Bandai Games";"Unknown";"x";"";"x"
NA;".hack: G.U. Vol. 2: Reminisce";"???";"Namco Bandai Games";"Unknown";"x";"";"x"
NA;".hack: G.U. Vol. 3: Redemption";"???";"Namco Bandai Games";"Unknown";"x";"";"x"
NA;"007: Agent under Fire";"???";"EA Games";"Unknown";"";"";"x"
NA;"007: Everything or Nothing";"???";"Electronic Arts";"Unknown";"";"";"x"
NA;"007: Everything or Nothing";"???";"EA Games";"Unknown";"";"";"x"
NA;"007: From Russia With Love";"???";"EA";"Unknown";"";"";"x"
NA;"007: Nightfire";"???";"Electronic Arts";"Unknown";"";"";"x"
NA;"007: Nightfire";"???";"EA Games";"Unknown";"";"";"x"
NA;"007: Quantum of Solace";"???";"Activision";"Unknown";"";"";"x"
NA;"007: The World Is Not Enough";"???";"Electronic Arts";"2n Productions";"";"";"x"
NA;"1+1 Vorteilspack: Paint by DS + Paint by DS: Military Vehicles";"???";"Ertain";"";"";"x";"x"
NA;"10 Pin Bowling";"???";"Majesco";"Morning Star Multimedia";"";"";"x"
NA;"10 Pin Champions Alley";"???";"Liquid Games";"Unknown";"";"x";"x"
NA;"10-Yard Fight";"???";"Nintendo";"Irem";"";"";"x"
NA;"10.000 Bullets";"???";"Taito, 505 GameStreet";"Unknown";"";"x";"x"
NA;"101 Dalmations II: Patch's London Adventure";"???";"Eidos";"Unknown";"x";"";"x"
NA;"102 Dalmatians (Disney's): Puppies to the Rescue";"???";"Activision, Disney Interactive";"Crystal Dynamics, Digital Eclipse";"";"";"x"
NA;"1080° Snowboarding";"???";"Nintendo";"Unknown";"";"";"x"
NA;"16 Tales";"???";"Lightspan";"Unknown";"x";"";"x"
NA;"16 Tales 2";"???";"Lightspan";"Unknown";"x";"";"x"
NA;"16 Tales 3";"???";"Lightspan";"Unknown";"x";"";"x"
NA;"16 Tales 4";"???";"Lightspan";"Unknown";"x";"";"x"
NA;"18 Card Games";"???";"Rondomedia";"cerasus.media";"";"";"x"
NA;"187: Ride or Die";"???";"Ubisoft";"Unknown";"";"";"x"
NA;"1942";"???";"Capcom";"Unknown";"";"";"x"
NA;"1943: The Battle of Midway";"???";"Capcom";"Unknown";"x";"";"x"
NA;"1945 I&II: The Arcade Game";"???";"play it";"Unknown";"";"x";"x"
NA;"2 Disney Games: Disney Sports: Skateboarding + Disney Sports: Football";"???";"Buena Vista Games";"Unknown";"";"x";"x"
NA;"2 Disney Games: Lilo & Stitch 2 + Peter Pan: Return to Neverland";"???";"Disney Interactive";"Unknown";"";"x";"x"
NA;"2 Game Pack: My Amusement Park + Digging For Dinosaurs";"???";"Scholastic";"Unknown";"x";"";"x"
NA;"2 Game Pack! Hot Wheels: Stunt Track Challenge & Hot Wheels: World Race";"???";"DSI, Zoo Digital";"Unknown";"";"";"x"
NA;"2 Games in 1: Brother Bear + Disney Princess";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Columns Crown + ChuChu Rocket!";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Crash & Spyro Super Pack: Crash Bandicoot: The Huge Adventure & Spyro: Season of Ice";"???";"Vivendi";"Unknown";"x";"";"x"
NA;"2 Games in 1: Crash Super Pack: Crash Bandicoot 2: N-tranced + Crash Nitro Kart";"???";"Vivendi";"Unknown";"x";"";"x"
NA;"2 Games in 1: Disney Princess + Lizzie McGuire on the Go!";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Disney Princess + The Lion King";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Disney's Brother Bear + Disney's The Lion King";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Dora the Explorer: Double Pack";"???";"Take-Two";"Unknown";"x";"";"x"
NA;"2 Games in 1: Dragon Ball Z: Buu's Fury + Dragon Ball GT: Transformation";"???";"Infogrames";"Unknown";"x";"";"x"
NA;"2 Games in 1: Dragon Ball Z: The Legacy of Goku + The Legacy of Goku II";"???";"Infogrames";"Unknown";"x";"";"x"
NA;"2 Games in 1: Finding Nemo + Finding Nemo: The Continuing Adventures";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Finding Nemo + The Incredibles";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Finding Nemo: The Continuing Adventures + The Incredibles";"???";"THQ";"Unknown";"x";"";"x"
NA;"2 Games in 1: GT3 Advance: Pro Concept Racing + MotoGP: Ultimate Racing Technology";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Hot Wheels: Velocity X + Hot Wheels: World Race";"???";"THQ";"Unknown";"";"";"x"
NA;"2 Games in 1: Lego: Knights' Kingdom + Bionicle";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Monsters, Inc. + Finding Nemo";"???";"THQ";"Unknown";"";"";"x"
NA;"2 Games in 1: Power Rangers: Time Force + Power Rangers: Ninja Storm";"???";"THQ";"Unknown";"";"";"x"
NA;"2 Games in 1: Scooby-Doo + Scooby-Doo 2: Monsters Unleashed";"???";"THQ";"Unknown";"";"";"x"
NA;"2 Games in 1: Scooby-Doo and the Cyber Chase + Scooby-Doo! Mystery Mayhem";"???";"THQ";"Unknown";"";"";"x"
NA;"2 Games in 1: Sonic Advance + ChuChu Rocket!";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Sonic Advance + Sonic Battle";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Sonic Advance + Sonic Pinball Party";"???";"THQ";"Unknown";"";"";"x"
NA;"2 Games in 1: Sonic Battle + ChuChu Rocket!";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Sonic Pinball Party + Columns Crown";"???";"THQ";"Unknown";"";"x";"x"
NA;"2 Games in 1: Sonic Pinball Party + Sonic Battle";"???";"THQ";"Unknown";"";"x";"x"
